Grant,Organization,"Main Topic",Topics,"Date of Award",Amount
"Kaiser Permanente Center for Health Research — Alzheimer&#8217;s Research (Sheila Weinmann)","Kaiser Permanente Center for Health Research","Alzheimer's Research","Scientific Research; Alzheimer's Research",12/2019,"$265,000"
"Kansas State University — Fungal Genetics Stock Center","Kansas State University Fungal Genetic Stock Center","Scientific Research","Scientific Research",07/2021,"$50,000"
"KEMRI-Wellcome Trust Research Programme — Malaria Vaccine Clinical Trial (Philip Bejon)","The KEMRI-Wellcome Trust Research Programme","Scientific Research","Scientific Research; Global Health & Development",08/2021,"$472,016"
"Khon Kaen University — Tuberculosis Diagnostic via Raman Spectroscopy","Khon Kaen University","Scientific Research","Scientific Research",12/2022,"$1,248,280"
"Kids Research Institute Australia — Malaria Vaccine Stakeholder Engagement Meeting","Telethon Kids Institute","Global Health R&amp;D","Global Health R&amp;D",01/2025,"$55,000"
"KIPP Houston — General Support","KIPP Houston",Education,Education,05/2012,"$50,000"
"Koch Institute for Integrative Cancer Research at MIT — Pneumonia Diagnostics","Koch Institute for Integrative Cancer Research","Scientific Research","Scientific Research",05/2023,"$3,100,000"
"Krystal Caldwell and Sydney Heiss — Farm Animal Welfare Research","Krystal Caldwell and Sydney Heiss","Farm Animal Welfare","Farm Animal Welfare",01/2020,"$156,781"
"KU Leuven — Influenza Antiviral Research","KU Leuven","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",04/2024,"$3,550,000"
"Kyoto University — Reproductive Biology Research","Kyoto University","Scientific Research","Scientific Research",10/2023,"$4,000,000"
"Kyoto University — Research on Reproductive Biology (Mitinori Saitou)","Kyoto University","Scientific Research","Scientific Research",04/2019,"$4,000,000"
"Kyushu University — Mammalian Reproduction (Katsuhiko Hayashi)","Kyushu University","Scientific Research","Scientific Research",08/2019,"$2,500,000"
"L214 — Broiler Welfare Campaigns in France (2017)","Association L214","Farm Animal Welfare","Farm Animal Welfare",11/2017,"$1,347,742"
"L214 — Broiler Welfare Campaigns in France (2020)",L214,"Farm Animal Welfare","Farm Animal Welfare",11/2020,"$1,642,046"
"L214 — Corporate Campaigns in France (2023)",L214,"Farm Animal Welfare","Farm Animal Welfare",06/2023,"$1,759,968"
"La Trobe University — Pediatric Sepsis Treatment","La Trobe University","Scientific Research","Scientific Research",07/2024,"$914,522"
"Labor Mobility Partnerships — International Labor Mobility","Labor Mobility Partnerships","Immigration Policy","Immigration Policy",08/2020,"$500,000"
"Language Model Safety Fund — Language Model Misalignment","Language Model Safety Fund","Potential Risks from Advanced AI","Potential Risks from Advanced AI",10/2021,"$425,800"
"Latecomer Institute — Longtermist Magazine","Latecomer Institute",Longtermism,"Longtermism; Effective Giving and Careers",12/2022,"$234,000"
"LatinoJustice — Criminal Justice Reform Policy &#038; Practice Center",LatinoJustice,"Criminal Justice Reform","Criminal Justice Reform",11/2021,"$125,000"
"LatinoJustice — Media Fellowship",LatinoJustice,"Criminal Justice Reform","Criminal Justice Reform",01/2018,"$50,000"
"LatinoJustice — Texas Office for Latinx Engagement",LatinoJustice,"Criminal Justice Reform","Criminal Justice Reform",05/2019,"$250,000"
"LatinoJustice — Work to End Mass Incarceration",LatinoJustice,"Criminal Justice Reform","Criminal Justice Reform",02/2017,"$500,000"
"LatinoJustice — Work to End Mass Incarceration (2019)",LatinoJustice,"Criminal Justice Reform","Criminal Justice Reform",08/2019,"$400,000"
"Law for Black Lives — Criminal Justice Reform","Law for Black Lives","Criminal Justice Reform","Criminal Justice Reform",05/2019,"$150,000"
"Law for Black Lives — Criminal Justice Reform (2020)","Law for Black Lives","Criminal Justice Reform","Criminal Justice Reform",04/2020,"$100,000"
"Lead Exposure Action Fund — Lead Exposure Reduction","Lead Exposure Action Fund","Global Public Health Policy","Global Health and Wellbeing; Global Public Health Policy",09/2024,"$20,000,000"
"Lead Exposure Elimination Project — General Support","Lead Exposure Elimination Project","Global Health & Development","Global Health & Development",12/2022,"$150,000"
"Lead for Farmed Animals — Movement-Building Workshop","Lead for Farmed Animals","Farm Animal Welfare","Farm Animal Welfare",07/2021,"$300,000"
"LEAD National Support Bureau — General Support","LEAD National Support Bureau","Criminal Justice Reform","Criminal Justice Reform",12/2016,"$200,000"
"Legal Impact for Chickens — Farm Animal Welfare Litigation","Legal Impact for Chickens","Farm Animal Welfare","Farm Animal Welfare",10/2022,"$300,000"
"Legal Impact for Chickens — Farm Animal Welfare Litigation (2024)","Legal Impact for Chickens","Farm Animal Welfare","Farm Animal Welfare",12/2024,"$300,000"
"Legal Priorities Project — General Support","Legal Priorities Project","Global Catastrophic Risks","Global Catastrophic Risks",06/2023,"$170,000"
"Legal Priorities Project — Law &#038; AI Summer Research Fellowship","Legal Priorities Project","Potential Risks from Advanced AI","Potential Risks from Advanced AI",08/2023,"$75,000"
"Legal Priorities Project — Litigation Research","Legal Priorities Project","Biosecurity and Pandemic Preparedness","Potential Risks from Advanced AI; Biosecurity and Pandemic Preparedness; Farm Animal Welfare",02/2023,"$34,000"
"Legal Services for Prisoners with Children — CJR Events Support","Legal Services for Prisoners with Children","Criminal Justice Reform","Criminal Justice Reform",02/2019,"$10,000"
"Legal Services for Prisoners with Children — General Support","Legal Services for Prisoners with Children","Criminal Justice Reform","Criminal Justice Reform",07/2016,"$70,000"
"LessWrong — General Support",LessWrong,"Effective Giving and Careers","Effective Giving and Careers",04/2020,"$300,000"
"LessWrong — General Support (2021)",LessWrong,"Effective Giving and Careers","Effective Giving and Careers",05/2021,"$460,000"
"Life Sciences Research Foundation — Postdoctoral Fellowship","Life Sciences Research Foundation","Scientific Research","Scientific Research",05/2025,"$174,600"
"Life Sciences Research Foundation — Postdoctoral Fellowship","Life Sciences Research Foundation","Scientific Research","Scientific Research",04/2024,"$218,500"
"Life Sciences Research Foundation — Postdoctoral Fellowships (2023)","Life Sciences Research Foundation","Scientific Research","Scientific Research; Transformative Basic Science",05/2023,"$401,750"
"Life Sciences Research Foundation — Young Investigators","Life Sciences Research Foundation","Alzheimer's Research","Scientific Research; Alzheimer's Research",03/2017,"$195,000"
"Life Sciences Research Foundation — Young Investigators","Life Sciences Research Foundation","Alzheimer's Research","Scientific Research; Alzheimer's Research",10/2016,"$1,488,000"
"Life Sciences Research Foundation — Young Investigators","Life Sciences Research Foundation","Scientific Research","Scientific Research",04/2018,"$780,000"
"Life Sciences Research Foundation — Young Investigators (2019)","Life Sciences Research Foundation","Scientific Research","Scientific Research",04/2019,"$1,170,000"
"Life Sciences Research Foundation — Young Investigators (2020)","Life Sciences Research Foundation","Scientific Research","Scientific Research; Transformative Basic Science",05/2020,"$585,000"
"Life Sciences Research Foundation — Young Investigators (2021)","Life Sciences Research Foundation","Scientific Research","Scientific Research; Transformative Basic Science",06/2021,"$630,000"
"Life Sciences Research Foundation — Young Investigators (2022)","Life Sciences Research Foundation","Scientific Research","Scientific Research; Global Health & Development; Transformative Basic Science",03/2022,"$751,000"
"Lightcone Infrastructure – General Support","Lightcone Infrastructure","Effective Giving and Careers","Effective Giving and Careers",09/2022,"$4,500,000"
"Lightcone Infrastructure — General Support (2023)","Lightcone Infrastructure","Global Catastrophic Risks","Global Catastrophic Risks",10/2023,"$2,960,000"
"Liverpool School of Tropical Medicine — Malaria Chemoprevention in School-Aged Children","Liverpool School of Tropical Medicine","Global Health R&amp;D","Global Health R&amp;D",05/2024,"$100,000"
"Liverpool School of Tropical Medicine — Malaria in School-aged Children Network","Liverpool School of Tropical Medicine","Global Health R&amp;D","Global Health R&amp;D",04/2025,"$819,578"
"Liverpool School of Tropical Medicine — Snakebite Therapies","Liverpool School of Tropical Medicine","Global Health R&amp;D","Global Health R&amp;D",08/2024,"$5,473,069"
"Living Goods — Exit Grant","Living Goods","Global Health & Development","Global Health & Development",10/2021,"$100,000"
"Living Goods — General Support","Living Goods","Global Health & Development","Global Health & Development",12/2015,"$250,000"
"Living Goods — General Support","Living Goods","Global Health & Development","Global Health & Development",01/2017,"$250,000"
"Living Goods — General Support","Living Goods","Global Health & Development","Global Health & Development",12/2014,"$250,000"
"Living Goods — General Support (December 2020)","Living Goods","Global Health & Development","Global Health & Development",12/2020,"$50,000"
"Living Goods — General Support (January 2018)","Living Goods","Global Health & Development","Global Health & Development",01/2018,"$100,000"
"Living Goods — General Support (January 2019)","Living Goods","Global Health & Development","Global Health & Development",01/2019,"$100,000"
"Living Goods — General Support (January 2020)","Living Goods","Global Health & Development","Global Health & Development",01/2020,"$100,000"
"LLM Agents Hackathon — AI Safety Competition Prizes",,"Potential Risks from Advanced AI","Potential Risks from Advanced AI",02/2025,"$20,000"
"London Effective Altruism Hub — EA Organizing in London","Arcadia Impact","Effective Giving and Careers","Effective Giving and Careers",11/2022,"$445,000"
"London Initiative for Safe AI — General Support","London Initiative for Safe AI","Global Catastrophic Risks","Global Catastrophic Risks",07/2024,"$739,105"
"London Initiative for Safe AI — General Support (2025)","London Initiative for Safe AI","Global Catastrophic Risks","Global Catastrophic Risks",03/2025,"$1,647,005"
"London Initiative for Safe AI (LISA) — General Support","London Initiative for Safe AI","Potential Risks from Advanced AI","Potential Risks from Advanced AI",11/2023,"$237,000"
"London Initiative for Safe AI (LISA) — London Coworking Space","London Initiative for Safe AI","Global Catastrophic Risks","Global Catastrophic Risks",03/2024,"$821,248"
"London School of Economics and Political Science — Global Veterinary Benchmarks","London School of Economics and Political Science","Farm Animal Welfare","Farm Animal Welfare",04/2025,"$146,124"
"London School of Hygiene and Tropical Medicine — Anemia RCT","London School of Hygiene and Tropical Medicine","Global Health R&amp;D","Global Health R&amp;D",08/2024,"$4,551,974"
